--- scanner 0 ---
136,-154,-15
688,487,557
806,-481,565
-566,605,547
784,-477,410
-19,-78,146
772,-755,-623
-551,280,-333
-672,-646,864
667,-777,-590
-636,-891,-428
796,-763,-662
-552,293,-594
915,-495,438
711,349,666
750,485,598
591,660,-656
-583,-856,-458
663,780,-554
-752,-510,814
710,669,-530
-566,-502,862
-478,-962,-447
-669,462,554
-506,462,559
-536,307,-473

--- scanner 3 ---
366,-729,638
-700,-867,-595
-876,306,-835
-602,-611,646
-600,-673,605
775,-549,-533
770,678,-447
-680,-856,-668
-790,324,-727
-720,643,656
-577,746,649
624,-543,-396
-854,306,-612
593,638,-457
620,570,-459
387,643,341
-464,-634,537
14,74,-16
362,-707,793
395,829,389
-577,583,644
774,-441,-395
-551,-801,-585
-105,-88,-95
380,-838,765
531,749,339
